Date,Age,Life Event,Unnamed: 3,PredictedLabel,PredictedTheme
05-22-1951,0,"Kenneth Bianchi is born in Rochester, New York to a 17-year-old alcoholic prostitute who gives him up for adoption",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
August 1951,3 months,"Kenneth is adopted by Frances Scioliono Bianchi and her husband who is a worker in the American Brake-Shoe Factory. Frances is Angelo Buono’s mother’s sister making him Angelo’s adoptive cousin. Named Kenneth Alessio Bianchi, he is their only child.",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
1953,2,By the time he could talk his mother knew he would be a compulsive liar. Throughout his childhood he idolizes Prince Valiant,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
11-25-1954,3,First taken to hospital by his mother with complaints of not being able to sleep and wetting the bed 5 times. Quote from doctor after first hospital visit – 'Mother needs help',,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
1956,5,Kenneth has frequent lapses into trance-like states of daydreaming. Frances consults a physician. These trance-like states of daydreaming are typified by his eyes rolling back in his head and inattentiveness. He is prone to temper tantrums and quick to anger as well. Doctor diagnoses him with petit mal syndrome and assures the Bianchi’s that there is nothing to worry about and that Kenneth will eventually grow out of these episodes. Episodes only last a moment or so,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
12-18-1958,7,Is checked by doctors for urinary dribbling,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
1959,8,Is treated briefly at a psychiatric center in Rochester for mental problems,,4,"The archetypal theme here represents ""Power and Control"". The serial killer demonstrates a need to exert power, dominance, and control over their victims. This is evident from the brutal, personal nature of the killings, sexual assault, and the choice of vulnerable victims. This type of killer receives satisfaction not from killing, but from the process of murder, causing suffering and degradation to their victims."
1960,9,Begins having involuntary urination (Frances eventually makes him wear sanitary napkins).,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
"November 28, 1960",9,"Is sent to DePaul Psychiatric Clinic because of 'involuntary urination, tics, absenteeism, and behavior problems.' Doctors perform a cystoscopy and retrograde pyelogram on Kenneth",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
1962,11,"Kenneth is moved twice from schools because he could not get along with his teachers. The mother believed the teachers made him nervous. His IQ is measured at 116. Mother says he is lazy, inattentive, and angry. Teachers say he is working below his capacity",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
