Date,Age,Life Event,Life Event,
5/13/1946,0,"Born in Richford, New York.","Born in Richford, New York.",
,11,"Suffered from measles that left her with poor eyesight, she could only see shadows without glasses.","Suffered from measles that left her with poor eyesight, she could only see shadows without glasses.",
01/11/1964,17,Tim and Waneta get married.,Tim and Waneta get married.,
10/17/1964,18,Son Eric was born.,Son Eric was born.,
01/26/1965,18,Eric died.,Eric died.,
05/31/1966,20,Son James was born.,Son James was born.,
07/19/1968,22,Daughter Julie was born.,Daughter Julie was born.,
09/05/1968,22,Julie died.,Julie died.,
09/26/1968,22,James died.,James died.,
,,"Went to see psychiatrist, Dr. Waldo Burnett.","Went to see psychiatrist, Dr. Waldo Burnett.",
02/1969,22,Last visit to Dr. Burnett.,Last visit to Dr. Burnett.,
05/26/1969,23,Filled out application at the county’s social service agency to adopt a child.,Filled out application at the county’s social service agency to adopt a child.,
Summer 1969,23,"Became pregnant, dropped plans to adopt.","Became pregnant, dropped plans to adopt.",
03/18/1970,23,Daughter Molly was born.,Daughter Molly was born.,
04/15/1970,23,Waneta and her husband drove to Upstate Medical Center to meet Dr. Steinschneider; Steinschneider admitted Molly to study her while she slept to watch her for apnea.,Waneta and her husband drove to Upstate Medical Center to meet Dr. Steinschneider; Steinschneider admitted Molly to study her while she slept to watch her for apnea.,
03/08/1970,23,Molly Hoyt became the first baby in the United States to be sent home on an apnea monitor.,Molly Hoyt became the first baby in the United States to be sent home on an apnea monitor.,
03/10/1970,23,Waneta called Dr. Steinschneider because Molly had another spell and she had to resuscitate her.  Dr. Steinschneider told her to bring Molly back to Upstate Medical Center and readmitted Molly.,Waneta called Dr. Steinschneider because Molly had another spell and she had to resuscitate her.  Dr. Steinschneider told her to bring Molly back to Upstate Medical Center and readmitted Molly.,
06/04/1970,24,Molly was discharged and sent home with the apnea monitor.,Molly was discharged and sent home with the apnea monitor.,
06/05/1970,24,Molly died.,Molly died.,
06/12/1970,24,"Tim and Waneta reapplied to adopt, but neither agency came through; a caseworker learned that Waneta was pregnant again and was due May 1971.","Tim and Waneta reapplied to adopt, but neither agency came through; a caseworker learned that Waneta was pregnant again and was due May 1971.",
05/09/1971,24,"Waneta gave birth to her fifth child, Noah.","Waneta gave birth to her fifth child, Noah.",
05/13/1971,25,Noah was admitted to Upstate Medical Center for evaluation.,Noah was admitted to Upstate Medical Center for evaluation.,
06/13/1971,25,Noah was discharged and sent home for the first time.,Noah was discharged and sent home for the first time.,
06/16/1971,25,Noah was back at Upstate Medical Center; Waneta said Noah had stopped breathing and that she had to resuscitate him.,Noah was back at Upstate Medical Center; Waneta said Noah had stopped breathing and that she had to resuscitate him.,
07/02/1971,25,Tim underwent a vasectomy thinking that whatever is killing his children might be due to hereditary and he didn’t think they should have any more children.,Tim underwent a vasectomy thinking that whatever is killing his children might be due to hereditary and he didn’t think they should have any more children.,
07/27/1971,25,Noah was discharged again.,Noah was discharged again.,
,,,,
07/28/1971,25,Noah died.,Noah died.,Noah died.
A week later,25,Tim and Waneta applied to adopt a child.,Tim and Waneta applied to adopt a child.,Tim and Waneta applied to adopt a child.
October 1972,25,Dr. Steinschneider published a research paper about the five children.,Dr. Steinschneider published a research paper about the five children.,Dr. Steinschneider published a research paper about the five children.
11/19/1971,25,"Tim and Waneta adopted a nine-month-old boy, Scottie, on a six-month trial basis.","Tim and Waneta adopted a nine-month-old boy, Scottie, on a six-month trial basis.","Tim and Waneta adopted a nine-month-old boy, Scottie, on a six-month trial basis."
